HouseholdID,Date,EnergyUsed,EnergyGeneratedFromRenewableSources,EnergyBought,EnergySold,TotalExpenditure
H5,2023-08-20,891.16,1459.96,0.0,568.8,-62.46
H5,2023-08-27,824.25,1324.43,0.0,500.17,-54.19
H5,2023-09-03,746.71,931.31,0.0,184.6,-21.66
H5,2023-09-10,937.73,847.47,90.26,0.0,12.17
H5,2023-09-17,1061.84,769.99,291.85,0.0,41.94
H5,2023-09-24,840.93,668.82,172.12,0.0,23.85
H5,2023-10-01,806.55,700.77,105.78,0.0,14.17
H5,2023-10-08,845.1,852.97,0.0,7.87,-0.92
H5,2023-10-15,677.78,735.35,0.0,57.56,-6.45
H5,2023-10-22,755.46,785.59,0.0,30.13,-3.42
H5,2023-10-29,888.61,671.75,216.86,0.0,30.82
H5,2023-11-05,820.79,949.07,0.0,128.28,-13.73
H5,2023-11-12,789.27,758.91,30.36,0.0,4.09
H5,2023-11-19,784.79,769.75,15.04,0.0,2.15
H5,2023-11-26,841.41,727.13,114.28,0.0,16.79
H5,2023-12-03,879.32,719.06,160.26,0.0,22.0
H5,2023-12-10,884.96,828.87,56.09,0.0,7.79
H5,2023-12-17,716.98,577.52,139.46,0.0,19.27
H5,2023-12-24,948.7,568.33,380.37,0.0,54.5
H5,2023-12-31,788.11,340.9,447.22,0.0,59.6
H5,2024-01-07,917.68,520.36,397.32,0.0,53.61
H5,2024-01-14,706.9,618.34,88.56,0.0,11.79
H5,2024-01-21,750.53,596.91,153.62,0.0,21.61
H5,2024-01-28,947.69,584.15,363.54,0.0,48.85
H5,2024-02-04,732.62,595.99,136.63,0.0,18.79
H5,2024-02-11,824.43,771.17,53.26,0.0,7.36
H5,2024-02-18,761.27,372.36,388.9,0.0,56.0
H5,2024-02-25,779.78,703.99,75.79,0.0,10.81
H5,2024-03-03,696.08,959.33,0.0,263.25,-30.49
H5,2024-03-10,1034.16,939.43,94.73,0.0,13.47
H5,2024-03-17,864.89,1079.95,0.0,215.06,-24.36
H5,2024-03-24,842.88,924.66,0.0,81.78,-8.84
H5,2024-03-31,847.98,1172.21,0.0,324.23,-36.97
H5,2024-04-07,807.12,1018.47,0.0,211.35,-22.66
H5,2024-04-14,767.78,1129.88,0.0,362.11,-39.73
H5,2024-04-21,948.04,934.31,13.73,0.0,1.95
H5,2024-04-28,799.37,956.39,0.0,157.02,-16.88
H5,2024-05-05,946.71,1071.9,0.0,125.18,-13.69
H5,2024-05-12,894.64,1131.12,0.0,236.47,-26.17
H5,2024-05-19,810.96,974.92,0.0,163.96,-18.57
H5,2024-05-26,897.75,1122.46,0.0,224.71,-25.24
H5,2024-06-02,782.08,1492.78,0.0,710.7,-83.42
H5,2024-06-09,971.01,1579.93,0.0,608.92,-69.89
H5,2024-06-16,888.45,1507.25,0.0,618.8,-66.73
H5,2024-06-23,890.11,1378.96,0.0,488.85,-53.24
H5,2024-06-30,745.97,1203.36,0.0,457.4,-50.92
H5,2024-07-07,892.15,1414.77,0.0,522.62,-57.02
H5,2024-07-14,820.09,1372.32,0.0,552.23,-64.24
H5,2024-07-21,719.35,1491.3,0.0,771.95,-89.19
H5,2024-07-28,824.96,1428.26,0.0,603.3,-69.29
H5,2024-08-04,949.24,1386.0,0.0,436.76,-50.03
H5,2024-08-11,899.66,1517.35,0.0,617.69,-66.95
H5,2024-08-18,869.36,1403.03,0.0,533.67,-62.38
H5,2024-08-25,875.97,1334.86,0.0,458.89,-53.03
H5,2024-09-01,842.74,650.81,191.94,0.0,27.79
H5,2024-09-08,867.79,970.22,0.0,102.43,-11.58
H5,2024-09-15,669.07,807.84,0.0,138.77,-15.64
H5,2024-09-22,907.8,838.12,69.68,0.0,9.89
H5,2024-09-29,783.99,847.81,0.0,63.82,-7.12
H5,2024-10-06,821.19,714.95,106.24,0.0,15.32
H5,2024-10-13,863.46,659.95,203.51,0.0,29.16
H5,2024-10-20,732.37,844.46,0.0,112.09,-12.37
H5,2024-10-27,865.02,945.48,0.0,80.46,-8.57
H5,2024-11-03,769.36,864.83,0.0,95.47,-11.18
H5,2024-11-10,709.51,689.37,20.14,0.0,2.72
H5,2024-11-17,905.01,762.72,142.3,0.0,20.91
H5,2024-11-24,766.45,590.59,175.87,0.0,25.17
H5,2024-12-01,860.22,693.26,166.96,0.0,23.12
H5,2024-12-08,991.3,524.91,466.39,0.0,62.05
H5,2024-12-15,702.69,726.26,0.0,23.57,-2.72
H5,2024-12-22,856.3,516.42,339.88,0.0,47.49
H5,2024-12-29,789.22,618.46,170.76,0.0,24.1
H5,2025-01-05,1007.52,788.66,218.86,0.0,30.96
H5,2025-01-12,932.17,659.25,272.91,0.0,37.33
H5,2025-01-19,839.37,731.24,108.13,0.0,14.5
H5,2025-01-26,824.68,554.68,270.01,0.0,38.88
H5,2025-02-02,925.3,668.2,257.1,0.0,36.06
